术语,定义,例句
实现可比性,使不同主体和不同期间的财务报表具有可比性。,统一的政策有助于实现公司之间的可比性。
被收购企业,其控制权被取得方取得的企业或主体。,取得方以公允价值确认被收购企业的资产。
外购商誉,在企业合并中，转移的对价超过所取得的可辨认净资产公允价值的部分。,已确认400万的外购商誉，并每年对其进行减值测试。
企业合并中取得的,通过企业合并取得的资产或负债。,该专利是去年在企业合并中取得的。
被购买方,购买方取得其控制权的企业或主体。,被购买方的资产以公允价值计量。
购买方,取得另一主体控制权的主体。,购买方以公允价值确认可辨认净资产。
收购,一个主体取得另一主体控制权的企业合并。,该项收购采用购买法进行会计处理。
购买日,在企业合并中，购买方实际取得被购买方控制权的日期。,转移的对价按购买日的公允价值计量。
购买法,用于对企业合并进行会计处理的方法。,在购买法下，可辨认资产以公允价值计量。
活跃市场,交易发生得足够频繁从而能够提供市场价格的市场。,该股票在活跃市场上交易。
积极使用,在商品或服务的生产或供应过程中对资产的使用。,该设备在制造过程中被积极使用。
积极营销,指某项资产正以其现状并以合理价格被积极地推介出售。,该大楼在整个报告期内一直被积极营销（推介出售）。
精算假设,用于计量福利义务的人口和财务方面的估计。,精算假设包括折现率和死亡率。
精算利得和损失,因经验调整而导致的设定受益义务现值的变动。,精算利得和损失源于精算假设的变动。
承诺退休福利的精算现值,采用精算假设计算的承诺养老金福利的现值。,承诺退休福利的精算现值每年予以披露。
精算评估,使用精算假设对福利义务进行的评估。,该养老金计划每年进行一次精算评估。
精算评估方法,通过估计未来支付额并将其折现为现值来计量设定受益义务的预测技术。,该主体采用预计单位贷记法这一精算评估方法来计量其养老金义务。
补充比较信息,超出最低要求之外的额外前期信息。,补充比较信息系自愿提供。
额外对价,在交易中除初始对价之外额外转移的支付。,购买方为或有额外款项支付了额外对价。
补充披露,在最低要求披露之外提供的补充信息。,该主体就其关联方交易提供了补充披露。
首次采用者的额外豁免,为首次应用国际财务报告准则的主体提供的、便于其向国际财务报告准则过渡的可选简化处理。,该公司在过渡日计量其养老金义务时采用了首次采用者的额外豁免。
合并程序调整,在合并之前为消除集团内部影响而对数字进行的更正。,我们必须在报告之前进行合并程序调整。
经调整的公允价值,经修改以反映特定权利、限制或条件的公允价值。,经调整的公允价值反映了转让限制。
经调整的加权平均股数,针对具有稀释性的潜在股份进行调整后的加权平均股数。,稀释每股收益使用经调整的加权平均股数计算。
资产负债表日后调整事项,报告日之后发生的需要调整的事项。,一宗法院诉讼的了结是一项资产负债表日后调整事项。
报告期后调整事项,在报告日之后发生的事项，其为资产负债表日已存在的状况提供了证据，并且需要调整。,一名客户在年末之后破产，由于证实了已有的应收款项减值，因此属于报告期后调整事项。
调整,对先前记录金额的变更。,该项调整更正了上年度的数字。
管理费用,与生产或销售无直接关系的主体运营成本。,管理费用包括办公室薪金和租金。
入会费,就加入会员资格或服务安排而收取的初始入会金额。,入会费在提供服务时确认为收入。
预付款,客户在商品或服务交付之前支付的款项，从而形成卖方的一项义务。,"客户在设备交付之前支付了10,000的预付款。"
不利经济后果,由某一事件或决策产生的不利财务影响。,该裁决给该主体带来了不利经济后果。
不利事件,可能导致损失或负债的不利情形。,保险人在不利事件发生后支付了赔款。
税后金额,扣除所得税后的净额。,该利得按税后金额报告。
代理,一方代表另一方行事的关系。,该代理安排赋予代理人约束委托人的权限。
合计,将各单项组成部分或项目相加得到的总额。,该附注列示了当期所有关联方交易的合计数。
汇总,将项目归集为类别。,将类似项目汇总有助于理解。
汇总标准,对具有相似特征的项目进行分组以供列报的规则。,汇总标准决定各项目如何在一起列报。
协议日,各方达成具有约束力的协议的日期。,公允价值是按协议日计量的。
不动产建造协议,建造不动产的合同，其收入确认取决于该协议是作为商品销售还是作为建造服务处理。,根据不动产建造协议，收入可能需要在一段时间内确认。
进行中的协议,仍在谈判中或尚未完成的合同。,来自进行中协议的收入在一段时间内确认。
农业活动,对用于出售的活体动物或植物的生物转化进行的管理。,该农场的农业活动包括饲养牲畜。
农产品,生物资产收获的产品。,农产品在收获时按公允价值减去出售费用计量。
农业,涵盖生物资产和农产品的准则。,农业准则处理生物资产的会计处理问题。
分配,将成本、收入或金额分摊至不同期间、资产或活动的过程。,将购买对价分配至所取得的可辨认资产的工作已在计量期间内完成。
分配方法,用于分配某项金额的方法。,分配方法将成本分摊到各报告期间。
备抵,冲减资产账面金额的备抵（对冲）账户。,该公司为可疑应收款项计提了备抵。
备抵账户,记录应收款项估计减值金额的对冲（备抵）账户。,备抵账户从应收款项总额中扣减。
允许的备选处理方法,旧准则允许与基准处理方法同时采用的另一种备选会计处理方法。,该公司采用了允许的备选处理方法，对其不动产、厂房和设备进行了重新估价。
美式股票期权,可在到期前任何时间行权的期权。,该美式股票期权可以随时行权。
摊销,在无形资产的使用寿命内系统分摊其成本。,该专利的摊销按月计提费用。
摊销方法,用于在使用寿命内分摊应摊销金额的方法。,该无形资产采用直线摊销法。
摊销期限,无形资产进行摊销所跨越的期间。,摊销期限反映了资产的预计使用寿命。
摊余成本,金融资产或金融负债经本金偿还、累计摊销和减值调整后据以计量的金额。,该债券采用实际利率法按摊余成本计量。
金融资产或金融负债的摊余成本,采用实际利率法计量的金额。,该贷款按摊余成本列账。
摊销型利率互换,名义金额在其存续期内递减的互换。,该摊销型利率互换对贷款还款进行了套期保值。
存货金额,财务报表中确认的存货账面金额。,已披露按可变现净值列账的存货金额。
应付金额,主体依据合同或负债负有支付义务的货币金额。,年末应付供应商的金额已在附注中披露。
每股金额,归属于单股股份的货币价值。,每股股利金额为2里拉。
（在财务状况表或综合收益表中）确认的金额,根据适用准则在财务报表中记录的货币金额。,该附注列示了在财务状况表中确认的金额。
分析,对信息进行详细审查以支持决策。,管理层对现金流量进行了敏感性分析。
年假,员工累积享有的带薪休假。,年假是一项短期职工福利。
年度期间,主体编报财务报表所针对的一年期报告期间。,该主体编制截至12月31日止年度期间的财务报表。
年金受领人,领取年金的人。,年金受领人终身领取年度给付。
年金化,将一次性款项转换为一系列定期给付。,年金化将养老储蓄金转换为月度收入。
年金,在一定期间内按固定间隔支付的一系列等额款项。,退休人员从养老金计划中领取月度年金。
反稀释,潜在普通股转换后会提高每股收益或降低每股亏损的效应。,这些期权具有反稀释性，因此未计入稀释每股收益。
反稀释性,提高每股收益或降低每股亏损的性质。,这些潜在股份具有反稀释性，已被剔除。
附录,附于准则或文件之后的补充部分。,示例列示于附录中。
适用性,准则或处理方法是否适用于某一情形。,该准则的适用性取决于主体类型。
应用指南,说明如何应用准则的指南。,应用指南说明了该准则如何应用。
要求的应用,主体将准则的具体要求应用于其交易和余额的方式。,附录就与租赁变更相关的要求的应用提供了指南。
应用补充,对准则起补充作用的附加指南。,应用补充澄清了该准则的使用。
国际会计准则第29号《恶性通货膨胀经济中的财务报告》下重述法的应用,关于在恶性通货膨胀经济中按国际会计准则第29号重述财务报表的指南。,该主体采用了国际会计准则第29号规定的重述法。
估价,专家对资产或负债价值所作的评估。,该不动产已取得独立估价。
公允交易,互不关联且自愿的各方各自维护自身利益而进行的交易。,关联方披露证实各项交易是否按公允（正常交易）条件进行。
艺术相关无形资产,因电影等艺术作品而产生的非货币性资产。,电影版权属于艺术相关无形资产。
卖方要价,卖方愿意就资产接受的价格。,所报卖方要价高于买方出价。
评估,对某事项进行评价或计量。,主体必须评估是否存在减值迹象。
控制的评估,评价投资方是否控制被投资方。,控制的评估需要评价权力、对可变回报的敞口以及回报。
资产,由过去事项形成、由主体控制的资源，预期未来经济利益将由此流入该主体。,该机器因能够产生未来经济利益而被确认为资产。
资产交换交易,以一项资产换取另一项资产的交易。,资产交换交易按商业实质进行计量。
特定资产履约风险,特定资产不能按预期表现的风险。,特定资产履约风险会影响资产的公允价值。
取得的资产,购买方在企业合并中取得的可辨认资产。,取得的资产按购买日的公允价值计量。
长期职工福利基金持有的资产,为清偿职工福利义务而在单独的长期基金中拨存的资金。,长期职工福利基金持有的资产在每个报告日按公允价值计量。
退出活跃使用的资产,不再用于经营活动但仍持有的资产。,该工厂将退出活跃使用的资产单独列示。
联营企业,投资方对其具有重大影响的企业。,对联营企业的投资采用权益法进行会计处理。
审计报告,审计师就财务报表出具的正式意见。,审计报告出具了无保留意见。
批准财务报表报出,正式批准财务报表以供发布。,董事会批准了财务报表报出。
可供出售金融资产,以往的一类指定为可供出售的非衍生金融资产，按公允价值计量且其变动计入其他综合收益。,可供出售金融资产产生的利得以往在处置之前计入其他综合收益。
奖励积分,向客户提供的、用于未来获得折扣的积分。,奖励积分是一项单独的履约义务。
走廊区间,以往未予确认的精算利得和损失的允许范围。,走廊区间内的精算利得已予递延。
“销售成本”法,按功能列示费用并反映销售成本的方法。,在“销售成本”法下，费用按功能分类。
转回,转回或抵销先前已确认的分录或调整。,会计人员必须在结账前转回错误的应计项目。
资产负债表,反映某一时点的资产、负债和权益的报表。,资产负债表列示的总资产为一百万。
资产负债表日,财务状况表所属报告期末的日期。,资产负债表日后事项已作披露。
资产负债表债务法,根据资产负债表差异确认递延所得税的方法。,递延所得税采用资产负债表债务法计算。
银行,吸收存款并发放贷款的金融机构。,针对银行的披露涉及信用风险和流动性风险。
银行透支,允许主体支取超过其账户余额款项的短期借款安排。,该银行透支可随时要求偿还，并列报为流动负债。
破产,针对无力偿债主体的法定程序。,破产程序已作为期后事项披露。
廉价购买,合并对价低于所取得净资产公允价值的企业合并。,该廉价购买为购买方带来了利得。
基本每股收益,归属于普通股股东的利润除以股份加权平均数。,该主体报告的基本每股收益为2里拉。
基本借贷特征,债务工具中符合基本借贷安排特征的合同条款，如利息和还款。,该金融工具经评估具有基本借贷特征，因此通过了仅支付本金和利息的测试。
计税基础调整,对资产或负债计税基础的调整。,资产重新估价后进行了计税基础调整。
结论基础,解释准则各项结论背后理由的文件。,结论基础说明了理事会为何否决该备选方案。
基点,一个百分点的百分之一。,利率上升了25个基点。
生产性生物资产,为产出产品而持有的活性生物资产。,生产性植物作为不动产、厂房和设备进行会计处理。
基准处理方法,准则允许的首选或参考会计处理方法，除非采用备选方法，否则作为默认处理方法。,除非国家法规要求采用允许的备选方法，否则主体应采用基准处理方法。
有利合同,为实体自身利益而订立的合同。,有利合同可能在企业合并中予以确认。
受益人,有权从某项安排中获取利益的个人或主体。,受益人收取信托分配。
福利,根据计划或合同获得的利益或权益。,员工退休后领取养老金福利。
福利改进,设定受益计划福利的增加，会产生过去服务成本。,本年度给予的福利改进增加了设定受益义务。
福利义务,应付的承诺职工福利的现值。,福利义务于年末进行了计量。
对使用者的益处,财务信息对财务报表主要使用者的有用性。,改进后的披露提高了对使用者的益处。
最佳估计,用于计量预计负债的最可能金额。,该预计负债按管理层的最佳估计计量。
偏差,扭曲判断或信息的倾向。,估计中的偏差会影响信息的中立性。
投标保函,一方为担保其投标履约而提供的保证或保函。,承包商提交投标保函以支持其对建设项目的投标。
买方出价,买方愿意据以购买的价格。,买方出价用于空头头寸。
买卖价差,最佳买入价与最佳卖出价之间的差额。,买卖价差较小表明市场流动性良好。
分拆法,将嵌入衍生工具从其主合同中分离出来的方法。,该可转换债券采用了分拆法。
具有约束力的销售协议,具有法律强制执行力的资产出售协议，使交易各方受交易约束。,由于存在具有约束力的销售协议，该不动产被分类为持有待售。
二叉树模型,用于期权定价的具有两种结果的估值模型。,二叉树模型对员工股份期权进行了估值。
生物资产,农业活动范围内的活的动物或植物。,该生物资产按公允价值减去出售成本计量。
生物转化,活资产的生长、蜕变、生产或繁殖。,生物转化会导致资产公允价值发生变动。
布莱克-斯科尔斯-默顿公式,一种期权定价模型。,布莱克-斯科尔斯-默顿公式对该股份期权进行估值。
董事会,由股东选举产生、负责监督主体战略方向和经营管理的治理机构。,董事会批准年度财务报表以供发布。
债券,支付利息的债务证券。,该债券按摊余成本计量。
红股发行,动用储备向现有股东无偿发行的股份。,公司宣布按每十股送一股的比例发行红股。
奖金计划,根据业绩向员工授予额外奖励的安排。,奖金计划在实现年度目标时对员工予以奖励。
保险合同组合,保险人作为一个组合共同管理的全部保险合同。,管理层定期审查保险合同组合，以评估保险风险。
账面价值,资产在账簿中记录的金额。,该机器的账面价值低于其市场价值。
借款人,取得资金并负有偿还义务的一方。,借款人必须连本带息偿还贷款。
借款费用,借入资金产生的利息及其他成本。,可直接归属于该资产的借款费用予以资本化。
自下而上测试,从最低现金产生层级开始的减值测试。,自下而上测试对单项资产的减值情况进行了评估。
品牌,与营销相关的无形资产，例如识别产品并为实体创造价值的名称或符号。,内部产生的品牌不能确认为无形资产。
建设-运营-移交,一种提供基础设施的特许经营模式。,在建设-运营-移交模式下，经营者建造并运营该资产。
业务,为获取利润而开展的相互关联的活动和资产的集合。,购买方将该业务作为持续经营的整体购入。
同一控制下的企业合并,各主体最终均受同一方控制的合并。,两家子公司的合并属于同一控制下的企业合并。
企业合并,规范购买方在合并中如何确认和计量资产、负债及商誉的准则。,该项收购按照企业合并准则进行了会计处理。
企业合并——初次报告的公允价值和商誉的后续调整,对合并中暂时确定的公允价值和商誉进行的事后更正。,该准则规范了初次报告的公允价值和商誉的后续调整。
企业合并——“交换日”和权益工具的公允价值,关于企业合并中交换日以及权益工具公允价值的指引。,该解释公告处理了企业合并中的交换日问题。
企业合并——购买或权益结合的分类,将企业合并分类为购买或权益结合。,该合并被分类为购买。
业务模式,主体管理其金融资产的方式。,业务模式决定金融资产如何分类。
业务分部,主体中从事赚取收入并发生费用的业务活动的可区分组成部分。,每个业务分部的成果在分部附注中单独报告。
业务单元,主体经营活动的组成部分。,该业务单元作为单独的组成部分予以报告。
采购分部,主体中作为采购决策单位的组成部分。,采购分部自行谈判签订了其供应合同。
按金融资产类别,按金融资产类别对信息进行分项披露。,信用风险按金融资产类别予以披露。
副产品,在联合生产过程中附带生产的次要产品，其价值相对于主要产品并不重大。,副产品按可变现净值计量，并从主要产品的成本中扣除。
看涨期权,赋予购买资产权利的合同。,卖出（签发）的看涨期权作为负债处理。
可赎回,发行人可以在到期前赎回的金融工具。,该债券可由发行人选择提前赎回。
利率上限,利率的最高限额。,该贷款对浮动利率设有上限。
资本,投入主体的资源。,资本在权益中列报。
资本增值,投资或资产价值超过其原始成本的增值。,持有该项投资主要是为了资本增值，而非股利收入。
资本法,以财务或实物形式保全资本。,资本法区分财务资本和实物资本。
资本资产定价模型,将预期收益与系统性风险相联系的模型。,资本资产定价模型用于估计权益成本。
资本投入,所有者为换取权益份额而投入的资源。,母公司对其子公司进行了资本投入。
资本支出,用于购置或改良长期资产并予以资本化而非计入费用的支出。,新工厂的资本支出被确认为不动产、厂房和设备。
资本利得,以高于成本的价格出售资本资产所获得的利润。,该主体报告了土地出售产生的资本利得。
资本保全,只有在资本得到保全之后才赚取利润的概念。,资本保全可以按财务或实物方式计量。
资本保全调整,在通货膨胀会计中为保全资本而进行的调整。,一项资本保全调整被确认计入权益。
资本化,将成本记录为资产。,借款费用的资本化适用于符合条件的资产。
利息资本化,将可直接归属于符合条件的资产的购置或建造的借款费用计入该资产的成本。,用于建造工厂的贷款，其利息资本化自开工时开始。
封顶利率,设有上限的利率。,封顶利率对借款人起保护作用。
上限机制,限制利率或支付额上升幅度的条款。,上限机制限制了该贷款的利率。
按成本列账,以初始成本经调整后的金额计量资产或负债。,对子公司的投资在个别报表中按成本列账。
结转,将金额（如亏损或余额）转入未来期间。,未使用的税收亏损可以结转，用以抵减未来的应纳税利润。
账面金额,在财务状况表中确认的金额。,该建筑物的账面金额已重估。
现金,主体持有的库存货币和活期存款。,现金包括纸币、硬币和银行存款。
现金替代,以现金而非股份结算奖励的选择权。,向员工提供了以现金替代股份奖励的选项。
收付实现制,在现金收付时确认交易。,在收付实现制下，收入在收到现金时予以确认。
现金等价物,期限短、流动性强、易于转换为已知金额的现金且价值变动风险很小的投资。,现金等价物包括到期日为三个月或更短的国库券。
现金流量,现金流入或流出主体的变动。,现金流量预测涵盖未来十二个月。
现金流量套期,对现金流量变动风险敞口的套期。,该远期合同被指定为现金流量套期。
现金流量预测,用于估值的未来现金流入和流出估计数。,减值测试采用了五年的现金流量预测。
现金流量风险,与金融工具相关的未来现金流量金额发生波动的风险。,浮动利率贷款使主体面临现金流量风险。
现金流量表,报告某一期间现金流入和流出的报表。,现金流量表显示经营活动现金流入强劲。
现金流量表,列示某一期间现金流入和流出的报表。,现金流量表将现金流量分类为经营活动、投资活动和筹资活动。
现金流量,现金及现金等价物的流入和流出。,现金流量表报告经营活动产生的现金流量。
现金产出单元,产生现金流入的最小资产组。,减值在现金产出单元层面进行测试。
现金流入,因经营、投资或筹资活动而产生的现金及现金等价物的增加。,本年度最大的现金流入来自出售一家子公司。
现金工具套期,使用现金工具进行的套期。,现金工具套期降低了外汇风险敞口。
库存现金,实体实际持有的纸币和硬币。,库存现金在每日营业结束时清点。
现金流出,减少主体现金余额的现金支付。,购置设备导致了重大的现金流出。
现金支付,主体在期间内报告的现金及现金等价物的流出。,支付给供应商的现金付款被分类为经营活动现金流量。
现销价格等值,如果立即付款则应支付的金额。,该资产按其现销价格等值入账。
现金所得款项,从交易或处置中收取的现金。,出售所得的现金款项已立即确认入账。
退保现金价值,解除保险合同时收取的金额。,该保险合同的退保现金价值被确认为资产。
以现金结算的股份期权,以现金结算的以股份为基础的支付。,以现金结算的股份期权产生一项负债。
以现金结算的以股份为基础的支付交易,指主体基于权益工具的价值以现金结算该义务的以股份为基础的支付交易。,以现金结算的以股份为基础的支付交易项下的义务，于每个报告日进行计量。
巨灾债券,将巨灾风险转移给投资者的债券。,该巨灾债券将风险转移给了投资者。
巨灾预计负债,为重大灾难事件造成的损失而计提的准备。,保险人在风暴过后增加了巨灾预计负债。
再保险分出人,将风险或资产转移给另一方的当事人。,再保险分出人将部分风险转移给了再保险人。
可转让定期存单,代表定期存款、可在到期前进行转让交易的银行可流通票据。,司库部门将多余现金投资于期限为三个月的可转让定期存单。
资本化的停止,停止将成本计入资产价值的时点。,当资产达到可使用状态时，资本化即告停止。
会计估计变更,对以前已确认的估计所作的调整，采用未来适用法处理。,会计估计变更采用未来适用法。
现有弃置、复原及类似负债的变动,弃置和复原预计负债的变动。,现有弃置负债的变动计入资产成本。
首席执行官,主体中最高级别的管理人员。,首席执行官属于关键管理人员。
首席经营决策者,负责分配资源并评估经营分部业绩的人员或团体。,经营分部根据首席经营决策者审阅的报告予以确定。
索赔,要求付款的请求或一项权利。,该索赔已确认为一项预计负债。
赔款进展,保险索赔在一段时间内被报告和结案的模式。,赔款进展表按年度显示已发生的损失。
甲类优先股,相对于普通股享有优先权利的一类股份。,甲类优先股在股利支付方面享有优先顺位。
资产类别,为披露和重估目的，按相似性质和用途对资产进行的分组。,为避免选择性计量，重估价必须应用于整个资产类别。
金融资产类别,具有相似特征的金融资产组别。,披露须按金融资产类别进行。
金融工具类别,具有相似特征的金融工具的分组。,披露按金融工具类别提供。
不动产、厂房和设备类别,性质和用途相似的不动产、厂房和设备的分组。,重估价应用于整个不动产、厂房和设备类别。
分类,将项目归入相应类别。,金融资产的分类取决于业务模式。
金融工具的分类——或有结算条款,关于或有结算条款如何影响金融工具归类为负债或权益的指引。,该解释对存在或有结算条款的金融工具的分类作出了规范。
存货的分类,对存货项目进行归类。,存货的分类将原材料与产成品区分开来。
配股的分类,确定配股属于负债还是权益。,配股的分类取决于所用货币。
清理性赎回权,当剩余余额变得微不足道时将其提前赎回的选择权。,发行人对其剩余票据行使了清理性赎回权。
个人关系密切的家庭成员,在与主体的往来交易中，可能影响该个人或受该个人影响的家庭成员。,向该个人关系密切的家庭成员进行的销售已作为关联方交易予以披露。
密切相关,与某项交易或某一方具有紧密的经济联系。,这两份合同密切相关，应合并处理。
市场收盘价,市场交易结束时的报价。,这些股票采用市场收盘价进行计量。
期末汇率,报告日的即期汇率。,货币性项目按期末汇率折算。
合作社,由其成员拥有并控制的主体。,合作社由其成员而非投资者控制。
利率上下限（领口）,由上限和下限组合而成，用于限定利率或价格波动区间的安排。,主体签订了一项利率上下限（领口）协议，以限制其面临市场利率变动的敞口。
抵押品,为担保贷款而质押的资产。,抵押品为银行贷款提供了担保。
已抵押的（资产、借款）,以质押资产作为义务担保而获得支持的。,该抵押借款以应收款项作担保。
可收回性,到期款项实际能够收回的可能性。,只有在可收回性得到合理保证时，收入才予以确认。
收款,从客户处收取现金以结清应收款项。,逾期商业应收款项的收回改善了公司的现金状况。
收款日期,预期收回应收款项的日期。,收款日期被推迟至三月。
集体商标,用以区分协会成员商品的标志。,集体商标归协会所有，而非归某一个成员所有。
共同权力,由一方以上共同持有的权力。,两名投资者对主体拥有共同权力。
混合（复合）金融工具,同时包含负债和权益组成部分的工具。,可转换债券是一种混合（复合）工具。
开始日,租赁或其他安排生效并产生相关权利和义务的日期。,承租人在租赁开始日确认一项使用权资产。
租赁期开始日,承租人能够使用租赁资产的日期。,租赁负债于租赁期开始日进行计量。
商业贷款,向企业而非个人发放的贷款。,商业贷款的条款契合企业需求。
商业票据融资便利,使短期无担保债务得以发行的安排。,公司为筹措营运资金动用了其商业票据融资便利。
商业实质,交易必须改变主体未来现金流量方可予以确认的要求。,由于现金流量未发生改变，该资产交换缺乏商业实质。
具有商业可行数量的矿产资源,能够以商业方式盈利开采的矿产储量。,商业可行数量一经确认，勘探活动即告停止。
佣金,因促成交易而支付给代理人的费用。,经纪人从该笔销售中赚取了佣金。
承诺,约定实施未来行为的具有约束力的协议。,主体披露了一项关于资本性采购的确定承诺。
承诺日,作出承诺的日期。,承诺日影响该安排的计量。
承诺费,贷款人就承诺在贷款额度下提供资金而收取的费用。,承诺费在贷款额度存续期内摊销。
大宗商品,在市场中交易的基础性商品。,该大宗商品按公允价值计量。
可比性,使使用者能够识别异同的信息质量特征。,可比性要求会计政策保持一致。
跨期可比性,使使用者能够比较主体各期间报表的质量特征。,一致的会计政策提高了跨期可比性。
可比中期,在中期财务报表中为比较目的列示的上一年度对应中期。,半年度业绩与上一年度的可比中期一并列报。
比较资产负债表,与前期数字并列列示的资产负债表。,比较资产负债表涵盖上一年度。
比较信息,与本期数字并列列示的前期金额。,为保持一致，比较信息已作重述。
比较财务状况表,与前期并列列示以便比较的资产负债表。,已列报上一年度的比较财务状况表。
带薪缺勤,诸如年假或病假之类的带薪休假。,带薪缺勤在职工提供服务时予以确认。
补偿,应付给职工或第三方的款项，或因损失或损害而收取的赔付款项。,主体就仓库的火灾损害从其保险人处获得了补偿。
竞争损害豁免,对若披露将损害竞争力的信息给予的豁免。,主体对分部数据适用了竞争损害豁免。
互补资产,组合起来产生的效益大于各自单独使用时效益的资产。,软件和硬件是互补资产。
一套完整的财务报表,所要求列报的全部报表，包括资产负债表、损益以及附注。,主体列报了一套完整的财务报表。
完整性,财务信息包含使用者理解所必需的全部交易和事项的特性。,审计师评估了已记录负债的完整性。
遵循国际会计准则,使财务报表符合国际会计准则。,附注证实了对国际会计准则的遵循。
组成部分,某一项目中单独核算的部分。,该资产的一个重要组成部分已被更换。
主体的组成部分,其活动在经营上能够区分的业务。,主体一项已终止经营的组成部分被单独列报。
权益的组成部分,构成权益的各个部分。,股本和储备属于权益的组成部分。
复合金融工具,同时包含负债和权益组成部分的非衍生金融工具，例如可转换债券。,可转换债券是拆分为负债和权益组成部分的复合金融工具。
复合金融工具,同时包含权益和负债组成部分的工具。,复合金融工具被拆分为其各组成部分。
复合工具,同时包含负债和权益组成部分的金融工具。,可转换债券是一种复合工具。
（信用等）风险集中,对单一交易对手或归并在一起的类似风险的敞口。,主体按客户披露了其信用风险集中情况。
置信水平,在精算或风险计量中，实际结果将落在既定区间内的概率。,精算师在估计预计负债时使用了95%的置信水平。
现金流量的配置特征,与被转让资产相关联的现金流量的性质。,现金流量的配置特征影响了会计处理。
共识,各方就特定事项达成的一般性一致意见。,委员会就该解释达成了共识。
相应修订,因另一项变更而作出的修订。,已对相关准则作出相应修订。
对价,为换取某物而给付的代价。,所转移的对价按公允价值计量。
一致性——备选方法,要求主体在各期间一贯运用相同方法的会计原则，包括使用备选方法时。,一致性要求，备选方法一经选定，应在以后期间一贯运用。
一致性——借款费用资本化,一贯地运用相同的会计政策。,借款费用的资本化应保持一致。
一致性——存货的不同成本计算方法,要求各期间一贯使用存货成本计算方法。,该指引涉及存货不同成本计算方法的一致性。
合并及单独财务报表,规范集团及单体财务报表列报的准则。,合并财务报表与单独财务报表遵循不同的计量规则。
合并资产负债表,将母公司及其子公司作为单一主体列示其资产、负债和权益的报表。,合并资产负债表将母公司及其全部子公司合并列报。
合并财务报表,将母公司和子公司作为单一主体合并编制的集团报表。,该集团每年编制合并财务报表。
合并财务报表及对子公司投资的会计处理,规范集团财务报表及子公司投资的准则。,合并财务报表将集团作为单一主体列报。
合并集团,作为单一主体列报的母公司及其子公司。,合并集团包括所有受控制的子公司。
合并财务状况表,合并母公司与子公司的集团资产负债表。,合并财务状况表抵销集团内部往来余额。
合并,将母公司及其子公司的财务报表合并为一套财务报表的过程。,母公司控制的所有子公司均须纳入合并。
合并调整,合并报表时作出的调整。,合并调整抵销集团内部利润。
合并及权益法——潜在表决权与所有者权益份额的分配,关于潜在表决权及所有者权益份额分配的指引。,潜在表决权影响合并及权益法的运用。
合并目的,通过合并母公司及其子公司所要实现的目标。,为合并目的而采用统一的会计政策。
