Bolum,Ingilizce_Terim,Turkce_Anlami,Ingilizce_Tanim,Ornek_Ingilizce,Ornek_Turkce
A,Accounting for Government Grants and Disclosure of Government Assistance,Devlet Teşviklerinin Muhasebeleştirilmesi ve Devlet Yardımlarının Açıklanması,Standard on accounting for government grants and related disclosures.,Government grants are recognised only when there is reasonable assurance of compliance.,"Devlet teşvikleri, koşullara uyum konusunda makul güvence olduğunda muhasebeleştirilir."
A,Accounting for inventories,Stokların muhasebeleştirilmesi,Measuring and reporting inventory at the lower of cost and net realisable value.,Accounting for inventories requires measuring them at the lower of cost and net realisable value.,"Stokların muhasebeleştirilmesi, stokların maliyet ile net gerçekleşebilir değerin düşük olanıyla ölçülmesini gerektirir."
A,Accounting for Investments in Associates,İştiraklerdeki Yatırımların Muhasebeleştirilmesi,"The standard governing how an investor accounts for its significant influence investments in associates, normally using the equity method.","Under the equity method of accounting for investments in associates, the investor recognises its share of the associate's profit.","İştiraklerdeki yatırımların muhasebeleştirilmesinde özkaynak yöntemi uyarınca yatırımcı, iştirakin kârından kendi payını muhasebeleştirir."
A,Accounting for revenue and associated expenses,Hasılatın ve ilgili giderlerin muhasebeleştirilmesi,Recognising revenue together with related expenses.,Accounting for revenue and associated expenses follows the accrual basis.,"Hasılatın ve ilgili giderlerin muhasebeleştirilmesi, tahakkuk esasına göre yapılır."
A,Accounting income,Muhasebe kârı (geliri),Profit measured under accounting rules rather than tax rules.,Accounting income may differ from taxable income.,"Muhasebe kârı, vergiye tabi gelirden farklı olabilir."
A,Accounting mismatch,Yanlış muhasebe eşleşmesi,An inconsistency arising when related assets and liabilities are measured on different bases.,Measuring one item at fair value may create an accounting mismatch.,Bir kalemi gerçeğe uygun değerle ölçmek yanlış muhasebe eşleşmesi yaratabilir.
A,Accounting model,Muhasebe modeli,The framework of measurement and recognition bases an entity applies when preparing its financial statements.,The entity changed its accounting model for investment property from cost to fair value.,"İşletme, yatırım amaçlı gayrimenkuller için muhasebe modelini maliyetten gerçeğe uygun değere değiştirdi."
A,Accounting period,Hesap dönemi,"Period covered by financial statements, usually one year.",The accounting period ends on 31 December each year.,Hesap dönemi her yıl 31 Aralık'ta sona erer.
A,Accounting policies,Muhasebe politikaları,The specific principles and bases an entity applies in preparing financial statements.,The entity disclosed its accounting policies for inventories.,"İşletme, stoklara ilişkin muhasebe politikalarını açıkladı."
A,Accrual accounting assumption,Tahakkuk esası,"Transactions are recorded when they occur, not when cash moves.","Under the accrual basis, revenue is recognised when earned.",Tahakkuk esasına göre hasılat kazanıldığında muhasebeleştirilir.
A,Accumulated depreciation,Birikmiş amortisman,Total depreciation charged against an asset to date.,Accumulated depreciation is deducted from the asset's cost.,"Birikmiş amortisman, varlığın maliyetinden düşülür."
A,Accumulated profit or loss,Geçmiş yıllar kâr veya zararları,The cumulative net earnings of an entity that have not been distributed as dividends or transferred to another reserve.,The board decided to retain the accumulated profit or loss to fund future capital expenditure.,"Yönetim kurulu, gelecekteki sermaye harcamalarını finanse etmek için geçmiş yıllar kâr veya zararlarını dağıtmayıp bünyede bırakmaya karar verdi."
A,Accumulating compensated absences,Birikmiş ücretli izinler,Paid absences that accumulate for future use.,Accumulating compensated absences are recognised as employees earn them.,"Birikmiş ücretli izinler, çalışanlar hak ettikçe muhasebeleştirilir."
A,Achieve comparability,Karşılaştırılabilirliğin sağlanması,Making financial statements comparable across entities and periods.,Uniform policies help achieve comparability between companies.,"Tek tip politikalar, şirketler arasında karşılaştırılabilirliğin sağlanmasına yardımcı olur."
A,Acquired entity,Edinilen işletme,The business or entity whose control is obtained by the acquirer.,The acquirer recognises the assets of the acquired entity at fair value.,"Edinen taraf, edinilen işletmenin varlıklarını gerçeğe uygun değerle muhasebeleştirir."
A,Acquired goodwill,Edinilen şerefiye,The excess of the consideration transferred over the fair value of identifiable net assets acquired in a business combination.,Acquired goodwill of 4 million was recognised and tested annually for impairment.,4 milyon tutarındaki edinilen şerefiye muhasebeleştirilmiş ve yıllık olarak değer düşüklüğü testine tabi tutulmuştur.
A,Acquired in a business combination,Bir işletme birleşmesinde edinilen,Asset or liability obtained through a business combination.,The patent was acquired in a business combination last year.,Patent geçen yıl bir işletme birleşmesinde edinildi.
A,Acquiree,Edinilen işletme,The business or entity that the acquirer obtains control over.,The acquiree's assets were measured at fair value.,Edinilen işletmenin varlıkları gerçeğe uygun değerle ölçüldü.
A,Acquirer,Edinen işletme,The entity that obtains control of another entity.,The acquirer recognises the identifiable net assets at fair value.,"Edinen işletme, tanımlanabilir net varlıkları gerçeğe uygun değeriyle muhasebeleştirir."
A,Acquisition,"Edinme yoluyla birleşme, edinme, elde etme, iktisap etme",A business combination where one entity obtains control of another.,The acquisition was accounted for using the acquisition method.,"Edinme, satın alma yöntemi kullanılarak muhasebeleştirildi."
A,Acquisition date,Birleşme tarihi,The date on which the acquirer effectively obtains control of the acquiree in a business combination.,Consideration transferred is measured at fair value at the acquisition date.,"Devredilen bedel, birleşme tarihindeki gerçeğe uygun değeri üzerinden ölçülür."
A,Acquisition method,Satın alma yöntemi,The method used to account for business combinations.,"Under the acquisition method, identifiable assets are measured at fair value.","Satın alma yönteminde tanımlanabilir varlıklar, gerçeğe uygun değeriyle ölçülür."
A,Active market,Aktif piyasa,A market where transactions occur frequently enough to provide pricing.,The shares are traded on an active market.,Hisseler aktif bir piyasada işlem görmektedir.
A,Active use,Aktif kullanım,Use of an asset in the production or supply of goods and services.,The equipment is in active use in the manufacturing process.,"Ekipman, üretim sürecinde aktif kullanımdadır."
A,Actively marketed,Aktif olarak satılan/pazarlanan,Describes an asset that is being actively offered for sale in its present condition at a reasonable price.,The building was actively marketed during the entire reporting period.,"Bina, tüm raporlama dönemi boyunca aktif olarak pazarlanmıştır."
A,Actuarial assumptions,Aktüeryal varsayımlar,Demographic and financial estimates used to measure benefit obligations.,Actuarial assumptions include discount rates and mortality rates.,Aktüeryal varsayımlar iskonto oranlarını ve ölüm oranlarını içerir.
A,Actuarial gains and losses,Aktüeryal kazanç ve kayıplar,Changes in the present value of a defined benefit obligation from experience adjustments.,Actuarial gains and losses arise from changes in actuarial assumptions.,"Aktüeryal kazanç ve kayıplar, aktüeryal varsayımlardaki değişikliklerden kaynaklanır."
A,Actuarial present value of promised retirement benefits,Taahhüt edilen emeklilik gelirlerinin aküeryal bugünkü değeri,Present value of promised pension benefits using actuarial assumptions.,The actuarial present value of promised retirement benefits is disclosed annually.,Taahhüt edilen emeklilik gelirlerinin aküeryal bugünkü değeri yıllık olarak açıklanır.
A,Actuarial valuation,Aktüeryal değerleme,Valuation of benefit obligations using actuarial assumptions.,An actuarial valuation is performed annually for the pension plan.,Emeklilik planı için yılda bir aktüeryal değerleme yapılır.
A,Actuarial valuation method,Aktüeryal değerleme yöntemi,A projected technique used to measure defined benefit obligations by estimating future payments and discounting them to present value.,The entity used the projected unit credit actuarial valuation method to measure its pension obligation.,"İşletme, emeklilik yükümlülüğünü ölçmek için projeksiyona dayalı birim kredi aktüeryal değerleme yöntemini kullandı."
A,Additional comparative information,Karşılaştırmalı ek bilgi,Extra prior-period information beyond the minimum.,Additional comparative information was presented voluntarily.,Karşılaştırmalı ek bilgi gönüllü olarak sunuldu.
A,Additional consideration,Ek teminat (tazminat),Extra payment transferred beyond the initial consideration in a transaction.,The acquirer paid additional consideration for the earn-out.,"Edinen taraf, ek kazanç için ek teminat ödedi."
A,Additional disclosure,Ek açıklama,Supplementary information provided beyond the minimum required disclosures.,The entity provided additional disclosure about its related-party transactions.,"İşletme, ilişkili taraf işlemleri hakkında ek açıklama sağladı."
A,Additional Exemptions for First-Time Adopters,İlk Uygulayıcılara İlişkin Ek Muafiyetler,Optional reliefs that ease the transition to IFRS for entities applying the standards for the first time.,The company used the Additional Exemptions for First-Time Adopters when measuring its pension obligation at transition.,"Şirket, geçiş tarihinde emeklilik yükümlülüğünü ölçerken İlk Uygulayıcılara İlişkin Ek Muafiyetlerden yararlanmıştır."
A,Adjust for consolidation procedures,Konsolidasyon düzeltmesi,Correcting figures to remove intragroup effects before consolidation.,We must adjust for consolidation procedures before reporting.,Raporlamadan önce konsolidasyon düzeltmesi yapmalıyız.
A,Adjusted fair value,Düzeltilmiş gerçeğe uygun değer,"Fair value modified to reflect specific rights, restrictions or conditions.",The adjusted fair value reflected the transfer restrictions.,"Düzeltilmiş gerçeğe uygun değer, devir kısıtlamalarını yansıttı."
A,Adjusted weighted-average shares,Düzeltilmiş ağırlıklı ortalama hisse sayısı,Weighted-average shares adjusted for dilutive potential shares.,Diluted EPS uses the adjusted weighted-average number of shares.,"Seyreltilmiş HBK, düzeltilmiş ağırlıklı ortalama hisse sayısını kullanır."
A,Adjusting event (after the balance sheet date),Bilanço tarihinden sonra ortaya çıkan ve düzeltme gerektiren olaylar,An event after the reporting date that requires adjustment.,The settlement of a court case was an adjusting event.,"Bir dava dosyasının sonuçlanması, düzeltme gerektiren bir olaydı."
A,Adjusting event after the reporting period,Raporlama döneminden sonra oluşan düzeltme gerektiren olaylar,An event occurring after the reporting date that provides evidence of conditions that existed at the end of the reporting period and requires adjustment.,A customer's bankruptcy after the year-end was an adjusting event after the reporting period because it confirmed an existing receivable impairment.,"Yıl sonundan sonra bir müşterinin iflası, mevcut alacak değer düşüklüğünü doğruladığı için raporlama döneminden sonra oluşan düzeltme gerektiren bir olaydı."
A,Adjustment,Düzeltme,A change to a previously recorded amount.,The adjustment corrected the prior year's figures.,"Düzeltme, önceki yılın tutarlarını düzeltti."
A,Administrative expenses,Yönetim ve genel işletme giderleri,Costs of running the entity not tied to production or selling.,Administrative expenses include office salaries and rent.,"Yönetim giderleri, ofis maaşlarını ve kira giderini içerir."
A,Admission fees,Giriş aidatları,Amounts charged for initial admission to a membership or service arrangement.,Admission fees are recognised as revenue when the service is provided.,"Giriş aidatları, hizmet sağlandığında gelir olarak muhasebeleştirilir."
A,Advance,Avans,"A payment made by a customer before goods or services are delivered, creating an obligation on the seller.","The customer paid a 10,000 advance before delivery of the equipment.","Müşteri, ekipmanın tesliminden önce 10.000 avans ödemiştir."
A,Adverse economic consequences,Olumsuz ekonomik sonuçlar,Negative financial effects arising from an event or decision.,The ruling had adverse economic consequences for the entity.,"Karar, işletme için olumsuz ekonomik sonuçlar doğurdu."
A,Adverse event,Olumsuz olay,An unfavourable occurrence that may give rise to a loss or liability.,The insurer paid claims following the adverse event.,"Sigortacı, olumsuz olayın ardından hasar ödemeleri yaptı."
A,After-tax amount,Vergi sonrası tutar,An amount net of income tax.,The gain is reported as an after-tax amount.,"Kazanç, vergi sonrası tutar olarak raporlanır."
A,Agency,Acente,A relationship where one party acts on behalf of another.,The agency arrangement gives the agent authority to bind the principal.,"Acentelik ilişkisi, acenteye asıl adına bağlayıcı işlem yapma yetkisi verir."
A,Aggregate,Toplam,A total amount obtained by adding together individual components or items.,The note presents the aggregate of all related party transactions for the period.,"Dipnot, döneme ilişkin tüm ilişkili taraf işlemlerinin toplamını sunmaktadır."
A,Aggregation,Toplama,Combining items into classes.,Aggregation of similar items aids understanding.,"Benzer kalemlerin toplanması, anlaşılmayı kolaylaştırır."
A,Aggregation criteria,Birleştirme kriteri,Rules for grouping items that share similar characteristics for reporting.,The aggregation criteria determine how items are presented together.,"Birleştirme kriteri, kalemlerin birlikte nasıl sunulacağını belirler."
A,Agreement date,Anlaşma tarihi,The date on which the parties reach a binding agreement.,The fair values were measured as of the agreement date.,Gerçeğe uygun değerler anlaşma tarihi itibarıyla ölçülmüştür.
A,Agreements for the construction of real estate,Gayrimenkul inşaat anlaşmaları,Contracts to build real estate where revenue recognition depends on whether the agreement is treated as a sale of goods or a construction service.,"Under agreements for the construction of real estate, revenue may need to be recognised over time.",Gayrimenkul inşaat anlaşmaları kapsamında hasılatın zaman içinde muhasebeleştirilmesi gerekebilir.
A,Agreements in progress,Devam eden anlaşmalar,Contracts still being negotiated or not yet completed.,Revenue from agreements in progress is recognised over time.,"Devam eden anlaşmalardan elde edilen gelir, zaman içinde muhasebeleştirilir."
A,Agricultural activity,Tarımsal faaliyet,Managing the biological transformation of living animals or plants for sale.,The farm's agricultural activity includes raising livestock.,Çiftliğin tarımsal faaliyeti hayvan yetiştiriciliğini içerir.
A,Agricultural produce,Tarımsal ürün,The harvested product of a biological asset.,Agricultural produce is measured at fair value less costs to sell at harvest.,"Tarımsal ürün, hasat anında gerçeğe uygun değerden satış maliyetleri düşülerek ölçülür."
A,Agriculture,Tarım,The standard covering biological assets and agricultural produce.,Agriculture addresses the accounting for biological assets.,"Tarım standardı, canlı varlıkların muhasebeleştirilmesini ele alır."
A,Allocation,Dağıtım,"The process of assigning a cost, revenue or amount to different periods, assets or activities.",The allocation of the purchase price to the identifiable assets acquired was completed within the measurement period.,"Satın alma bedelinin edinilen tanımlanabilir varlıklara dağıtımı, ölçüm dönemi içinde tamamlandı."
A,Allocation method,Dağıtım metodu,The method used to allocate an amount.,The allocation method spreads cost over reporting periods.,"Dağıtım metodu, maliyeti raporlama dönemlerine yayar."
A,Allowance,"Ödenek, karşılık",A contra account reducing the carrying amount of an asset.,The company recorded an allowance for doubtful debts.,"Şirket, şüpheli alacaklar için karşılık ayırdı."
A,Allowance account,Karşılık hesabı,A contra account recording estimated reductions in the value of a receivable.,The allowance account is deducted from gross receivables.,"Karşılık hesabı, brüt alacaklardan indirilir."
A,Allowed alternative treatment,İzin verilen alternatif yöntem,An alternative accounting treatment that older standards permitted alongside the benchmark treatment.,"The company applied the allowed alternative treatment and revalued its property, plant and equipment.","Şirket, izin verilen alternatif yöntemi uygulayarak maddi duran varlıklarını yeniden değerlemiştir."
A,American share option,Amerikan hisse senedine dayalı opsiyon,Option that may be exercised at any time before expiry.,The American share option can be exercised any time.,Amerikan hisse senedine dayalı opsiyon her zaman kullanılabilir.
A,Amortisation,İtfa,Systematic allocation of the cost of an intangible asset over its useful life.,Amortisation of the patent is charged monthly.,Patentin itfası aylık olarak gider yazılır.
A,Amortisation method,İtfa yöntemi,The method used to allocate a depreciable amount over useful life.,The straight-line amortisation method is applied to the intangible asset.,Maddi olmayan duran varlığa doğrusal itfa yöntemi uygulanır.
A,Amortisation period,İtfa dönemi,The period over which an intangible asset is amortised.,The amortisation period reflects the asset's expected useful life.,"İtfa dönemi, varlığın beklenen faydalı ömrünü yansıtır."
A,Amortised cost,İtfa edilmiş maliyet,"The amount at which a financial asset or liability is measured after adjusting for principal repayments, accumulated amortisation and impairment.",The bond is measured at amortised cost using the effective interest method.,"Tahvil, etkin faiz yöntemi kullanılarak itfa edilmiş maliyeti üzerinden ölçülür."
A,Amortised cost of a financial asset or financial liability,Finansal varlık veya borcun itfa edilmiş maliyet değeri,The amount measured using the effective interest method.,The loan is carried at amortised cost.,"Kredi, itfa edilmiş maliyeti üzerinden taşınır."
A,Amortising interest rate swap,İtfa edilen vadeli faiz oranı swapı,A swap whose notional amount declines over its life.,The amortising interest rate swap hedged the loan repayments.,"İtfa edilen faiz oranı swapı, kredi geri ödemelerini koruma altına aldı."
A,Amount of inventories,Stok tutarı,The carrying amount of inventory recognised in the financial statements.,The amount of inventories carried at net realisable value was disclosed.,Net gerçekleşebilir değerle taşınan stok tutarı açıklanmıştır.
A,Amount payable,Ödenecek tutar,"The monetary sum that an entity is obliged to pay, typically under a contract or liability.",The amount payable to suppliers at year end was disclosed in the notes.,Yıl sonunda tedarikçilere ödenecek tutar dipnotlarda açıklanmıştır.
A,Amount per share,Hisse başına tutar,Monetary value attributable to a single share.,The dividend amount per share was two liras.,Hisse başına temettü tutarı iki liraydı.
A,Amounts recognised [in the statement of financial position or in the statement of comprehensive income],(Finansal durum tablosunda ya da kapsamlı gelir tablosunda) muhasebeleştirilmiş tutar,Monetary amounts recorded in the financial statements under applicable standards.,The note shows amounts recognised in the statement of financial position.,"Dipnot, finansal durum tablosunda muhasebeleştirilmiş tutarları gösterir."
A,Analysis,Analiz etme,Detailed examination of information to support decisions.,Management performed a sensitivity analysis of the cash flows.,"Yönetim, nakit akışlarının duyarlılık analizini yaptı."
A,Annual leave,Yıllık izin,Paid leave accruing to employees.,Annual leave is a short-term employee benefit.,"Yıllık izin, kısa vadeli bir çalışan faydasıdır."
A,Annual periods,Yıllık dönemler,Reporting periods of one year for which an entity presents its financial statements.,The entity presents financial statements for annual periods ending on 31 December.,"İşletme, 31 Aralık'ta sona eren yıllık dönemlere ilişkin finansal tablolar sunar."
A,Annuitant,Yıllık sigortalı,A person receiving an annuity.,The annuitant receives annual payments for life.,"Yıllık sigortalı, yaşam boyu yıllık ödeme alır."
A,Annuitisation,Sigorta poliçesinin sağlayacağı düzenli yıllık gelir tutarı,Converting a lump sum into a stream of regular payments.,Annuitisation turns the pension pot into monthly income.,"Annuitisation, emeklilik birikimini aylık gelire dönüştürür."
A,Annuity,"Yıllık taksit, annuite",A series of equal payments made at regular intervals over a period.,The retiree receives a monthly annuity from the pension plan.,"Emekli, emeklilik planından aylık annuite almaktadır."
A,Antidilution,Hisse senetleri sayısında artış olsa bile hisse başına kârın artışı ya da hisse başına zararın azalışı,The effect whereby converting potential ordinary shares would increase earnings per share or reduce loss per share.,Those options were antidilutive and therefore excluded from diluted earnings per share.,Bu opsiyonlar seyreltici etkiye sahip olmadıklarından seyreltilmiş hisse başına kâr hesabına dahil edilmemiştir.
A,Antidilutive,Hisse başına kâr artışı ya da hisse başına zarar azalışı etkisine sebep olan,Increasing earnings per share or reducing loss per share.,Those potential shares are antidilutive and were excluded.,Bu potansiyel paylar sulandırıcı etkisi olmayan nitelikteydi ve hariç tutuldu.
A,Appendix,Ek,A supplementary section attached to a standard or document.,The illustrative examples are presented in the appendix.,Açıklayıcı örnekler ekte sunulmuştur.
A,Applicability,Uygulanabilirlik,Whether a standard or treatment applies to a situation.,The applicability of the standard depends on the entity type.,Standardın uygulanabilirliği işletme türüne bağlıdır.
A,Application guidance,Uygulama rehberi,Guidance explaining how a standard is applied.,The application guidance explains how the standard is applied.,"Uygulama rehberi, standardın nasıl uygulandığını açıklar."
A,Application of requirements,Hükümlerin uygulanması,The manner in which an entity applies the specific requirements of a standard to its transactions and balances.,The appendix provides guidance on the application of requirements relating to lease modifications.,"Ek, kiralama değişikliklerine ilişkin hükümlerin uygulanmasına dair rehberlik sunar."
A,Application supplement,Uygulama eki,Additional guidance supplementing a standard.,The application supplement clarifies the standard's use.,"Uygulama eki, standardın kullanımını netleştirir."
A,Applying the Restatement Approach Under IAS 29 Financial Reporting in Hyperinflationary Economies,IAS 29 Yüksek Enflasyonlu Ekonomilerde Finansal Raporlama Standardı Kapsamında Düzeltme Yaklaşımının Uygulanması,Guidance on restating financial statements in hyperinflationary economies under IAS 29.,The entity applied the restatement approach under IAS 29.,"İşletme, IAS 29 kapsamındaki düzeltme yaklaşımını uyguladı."
A,Appraisal,Değerleme,An expert assessment of the value of an asset or liability.,An independent appraisal was obtained for the property.,Gayrimenkul için bağımsız bir değerleme alınmıştır.
A,Arm’s length transaction,Piyasa şartlarında muvazaasız işlem,"A transaction between unrelated, willing parties each acting in its own interest.",Related party disclosures confirm whether transactions were conducted on an arm's length basis.,"İlişkili taraf açıklamaları, işlemlerin piyasa şartlarında muvazaasız olarak yapılıp yapılmadığını teyit eder."
A,Artistic-related intangible assets,Sanata ilişkin maddi olmayan duran varlıklar,Non-monetary assets arising from artistic works such as films.,Film rights are artistic-related intangible assets.,Film hakları sanata ilişkin maddi olmayan duran varlıklardır.
A,Asking price,Satıcının teklif fiyatı,The price a seller is willing to accept for an asset.,The quoted asking price was higher than the bid price.,İlan edilen satıcı teklif fiyatı alış fiyatından yüksekti.
A,Assess,Değer biçmek,To evaluate or measure something.,The entity must assess whether an indicator of impairment exists.,"İşletme, değer düşüklüğü göstergesi olup olmadığını değerlendirmelidir."
A,Assessing control,Kontrolün değerlendirilmesi,Evaluating whether an investor controls an investee.,"Assessing control requires evaluating power, exposure and returns.","Kontrolün değerlendirilmesi; güç, maruziyet ve getirilerin değerlendirilmesini gerektirir."
A,Asset,Varlık,A resource controlled by an entity as a result of past events from which future economic benefits are expected to flow.,The machine is recognised as an asset because it will generate future economic benefits.,"Makine, gelecekte ekonomik fayda sağlayacağı için varlık olarak muhasebeleştirilir."
A,Asset exchange transactions,Varlık takas işlemleri,Transactions exchanging one asset for another.,Asset exchange transactions are measured based on commercial substance.,"Varlık takas işlemleri, ticari öze göre ölçülür."
A,Asset-specific performance risk,Varlığa özgü performans riski,Risk that a particular asset will not perform as expected.,Asset-specific performance risk affects the fair value of the asset.,"Varlığa özgü performans riski, varlığın gerçeğe uygun değerini etkiler."
A,Assets acquired,Edinilen varlıklar,The identifiable assets obtained by the acquirer in a business combination.,The assets acquired were measured at their acquisition-date fair values.,"Edinilen varlıklar, edinim tarihindeki gerçeğe uygun değerleriyle ölçülmüştür."
A,Assets held by a long-term employee benefit fund,Uzun vadeli emeklilik fonlarında yer alan varlıklar,Funds set aside in a separate long-term fund to settle employee benefit obligations.,Assets held by a long-term employee benefit fund are measured at fair value at each reporting date.,Uzun vadeli emeklilik fonlarında yer alan varlıklar her raporlama tarihinde gerçeğe uygun değerinden ölçülür.
A,Assets retired from active use,Aktif kullanımdan çekilen varlıklar,Assets no longer used in operations but still held.,The plant lists assets retired from active use separately.,"Fabrika, aktif kullanımdan çekilen varlıkları ayrı olarak listeler."
A,Associate,İştirak,An entity over which the investor has significant influence.,The investment in the associate is accounted for using the equity method.,"İştirakteki yatırım, özkaynak yöntemi kullanılarak muhasebeleştirilir."
A,Audit report,Denetim raporu,The auditor's formal opinion on the financial statements.,The audit report gave an unmodified opinion.,"Denetim raporu, olumlu (şartsız) görüş verdi."
A,Authorise [financial statements for issue],Onaylama (finansal tabloların yayınlanması için),Formally approving financial statements for publication.,The board authorised the financial statements for issue.,"Yönetim kurulu, finansal tabloları yayınlanmak üzere onayladı."
A,Available-for-sale financial assets,Satılmaya hazır finansal varlıklar,"A former category of non-derivative financial assets designated as available for sale, measured at fair value with changes in other comprehensive income.",Gains on available-for-sale financial assets were previously recognised in other comprehensive income until disposal.,"Satılmaya hazır finansal varlıklardan elde edilen kazançlar, elden çıkarılana kadar diğer kapsamlı gelirde muhasebeleştirilirdi."
A,Award credits,Hediye puanlar,Credits given to customers for future discounts.,Award credits are a separate performance obligation.,"Hediye puanlar, ayrı bir edim yükümlülüğüdür."
A,Corridor,Tazminat yükümlülüğü aralığı,A permitted range of actuarial gains and losses previously not recognised.,Actuarial gains within the corridor were deferred.,Aralık içindeki aktüeryal kazançlar ertelenmiştir.
A,‘Cost of sales’ method,‘Satışların maliyeti’ yöntemi,"A method presenting expenses analysed by function, showing cost of sales.","Under the ‘cost of sales’ method, expenses are classified by function.",‘Satışların maliyeti’ yönteminde giderler fonksiyona göre sınıflandırılır.
B,Back-out,Çıkartmak,To reverse or eliminate an entry or an adjustment previously recognised.,The accountant had to back out the incorrect accrual before closing the period.,"Muhasebeci, dönemi kapatmadan önce hatalı tahakkuku çıkartmak zorunda kaldı."
B,Balance sheet,Bilanço,"Statement showing assets, liabilities and equity at a date.",The balance sheet shows total assets of one million.,"Bilanço, toplam bir milyon varlık göstermektedir."
B,Balance sheet date,Bilanço tarihi,The date at the end of the reporting period for the statement of financial position.,Events after the balance sheet date were disclosed.,Bilanço tarihinden sonraki olaylar açıklandı.
B,Balance sheet liability method,Bilanço yükümlülük metodu,Method recognising deferred tax from balance sheet differences.,Deferred tax is calculated using the balance sheet liability method.,"Ertelenmiş vergi, bilanço yükümlülük metodu kullanılarak hesaplanır."
B,Bank,Banka,A financial institution taking deposits and lending.,Disclosures for banks address credit and liquidity risk.,"Bankalara ilişkin açıklamalar, kredi ve likidite riskini ele alır."
B,Bank overdraft,Borçlu cari hesap,A short-term borrowing facility that allows an entity to withdraw more money than its account balance.,The bank overdraft is repayable on demand and is presented as a current liability.,"Borçlu cari hesap, talep üzerine geri ödenebilir ve kısa vadeli yükümlülük olarak sunulur."
B,Bankruptcy,İflas,A legal process for insolvent entities.,Bankruptcy proceedings were disclosed as a subsequent event.,"İflas süreci, sonraki olay olarak açıklandı."
B,Bargain purchase,Pazarlıklı satın alma,A business combination where consideration is below fair value of net assets.,The bargain purchase resulted in a gain for the acquirer.,"Pazarlıklı satın alma, edinen taraf için kazanç doğurdu."
B,Basic earnings per share,Adi hisse başına kâr,Profit attributable to ordinary shareholders divided by the weighted average number of shares.,The entity reported basic earnings per share of two lira.,"İşletme, adi hisse başına iki lira kâr açıkladı."
B,Basic loan features,Temel kredi özellikleri,"Contractual terms of a debt instrument, such as interest and repayment, that are typical of a basic lending arrangement.",The instrument was assessed to have basic loan features and therefore met the solely payments of principal and interest test.,"Araç, temel kredi özelliklerine sahip olduğu değerlendirilmiş ve böylece yalnızca anapara ve faiz ödemeleri testini karşılamıştır."
B,Basis adjustment,Temel düzeltme,Adjustment to the tax base of an asset or liability.,A basis adjustment was made after the asset revaluation.,Varlık yeniden değerlemesinin ardından temel düzeltme yapıldı.
B,Basis for Conclusions,Karar Gerekçeleri,A document explaining the reasoning behind the conclusions in a standard.,The Basis for Conclusions explains why the Board rejected the alternative.,"Karar Gerekçeleri, Kurul'un alternatifi neden reddettiğini açıklar."
B,Basis point,Baz puan,One hundredth of a percentage point.,The interest rate rose by 25 basis points.,Faiz oranı 25 baz puan arttı.
