Bolum,Ingilizce_Terim,Almanca_Anlami,Almanca_Tanim,Ornek_Almanca
A,Accounting for Government Grants and Disclosure of Government Assistance,Ansatz von Zuschüssen aus öffentlichen Mitteln und Angabe staatlicher Beihilfen,Standard über den Ansatz von Zuschüssen aus öffentlichen Mitteln und die damit zusammenhängenden Angaben.,"Zuschüsse aus öffentlichen Mitteln werden erst angesetzt, wenn eine hinreichende Gewissheit über die Einhaltung der Bedingungen besteht."
A,Accounting for inventories,Bilanzierung von Vorräten,Die Bewertung und Berichterstattung über Vorräte zum niedrigeren Wert aus Anschaffungskosten und Nettoveräußerungswert.,Die Bilanzierung von Vorräten erfordert deren Bewertung zum niedrigeren Wert aus Anschaffungskosten und Nettoveräußerungswert.
A,Accounting for Investments in Associates,Bilanzierung von Investitionen in assoziierte Unternehmen,"Der Standard, der regelt, wie ein Investor seine Beteiligungen an assoziierten Unternehmen, auf die er maßgeblichen Einfluss ausübt, bilanziert, in der Regel nach der Equity-Methode.",Nach der Equity-Methode der Bilanzierung von Investitionen in assoziierte Unternehmen erfasst der Investor seinen Anteil am Gewinn des assoziierten Unternehmens.
A,Accounting for revenue and associated expenses,Erfassung von Umsatzerlösen und zugehörigen Aufwendungen,Der gleichzeitige Ansatz von Umsatzerlösen und den damit zusammenhängenden Aufwendungen.,Die Erfassung von Umsatzerlösen und zugehörigen Aufwendungen folgt dem Verursachungsprinzip.
A,Accounting income,bilanzieller Gewinn / Bilanzgewinn,Ein nach bilanziellen Regeln und nicht nach Steuervorschriften ermittelter Gewinn.,Der bilanzielle Gewinn kann vom zu versteuernden Einkommen abweichen.
A,Accounting mismatch,bilanzielle Fehlanpassung / bilanzielle Inkonsistenz,"Eine Inkonsistenz, die entsteht, wenn zusammengehörige Vermögenswerte und Schulden nach unterschiedlichen Bewertungsmaßstäben bewertet werden.",Die Bewertung eines Postens zum beizulegenden Zeitwert kann eine bilanzielle Fehlanpassung verursachen.
A,Accounting model,Bilanzierungsmodell / Rechnungslegungsmodell,"Der Rahmen aus Ansatz- und Bewertungsgrundlagen, den ein Unternehmen bei der Aufstellung seines Abschlusses anwendet.",Das Unternehmen stellte sein Bilanzierungsmodell für als Investment gehaltene Immobilien von den Anschaffungskosten auf den beizulegenden Zeitwert um.
A,Accounting period,Geschäftsjahr / Rechnungsperiode,"Der im Abschluss abgedeckte Zeitraum, in der Regel ein Jahr.",Die Rechnungsperiode endet jedes Jahr am 31. Dezember.
A,Accounting policies,Bilanzierungs- und Bewertungsmethoden,"Die spezifischen Grundsätze und Grundlagen, die ein Unternehmen bei der Aufstellung seines Abschlusses anwendet.",Das Unternehmen hat seine Bilanzierungs- und Bewertungsmethoden für Vorräte offengelegt.
A,Accrual accounting assumption,Annahme der Periodenabgrenzung (Verursachungsprinzip),"Geschäftsvorfälle werden erfasst, wenn sie eintreten, nicht wenn Zahlungen erfolgen.","Nach dem Verursachungsprinzip werden Umsatzerlöse erfasst, wenn sie verdient werden."
A,Accumulated depreciation,kumulierte Abschreibungen,Die bis zum Berichtszeitpunkt insgesamt auf einen Vermögenswert vorgenommenen Abschreibungen.,Die kumulierten Abschreibungen werden von den Anschaffungskosten des Vermögenswerts abgesetzt.
A,Accumulated profit or loss,Gewinn- oder Verlustvortrag,"Die kumulierten Nettoergebnisse eines Unternehmens, die nicht als Dividenden ausgeschüttet oder in eine andere Rücklage eingestellt wurden.","Der Vorstand beschloss, den Gewinn- oder Verlustvortrag zur Finanzierung künftiger Investitionen im Unternehmen zu belassen."
A,Accumulating compensated absences,ansammelbare bezahlte Abwesenheiten,"Bezahlte Abwesenheiten, die sich ansammeln und für die künftige Inanspruchnahme übertragen werden.","Ansammelbare bezahlte Abwesenheiten werden erfasst, wenn die Arbeitnehmer sie erdienen."
A,Achieve comparability,Vergleichbarkeit herstellen,Die Herstellung der Vergleichbarkeit von Abschlüssen über Unternehmen und Perioden hinweg.,"Einheitliche Methoden helfen, Vergleichbarkeit zwischen Unternehmen herzustellen."
A,Acquired entity,erworbenes Unternehmen,"Das Unternehmen, dessen Kontrolle der Erwerber übernimmt.",Der Erwerber erfasst die Vermögenswerte des erworbenen Unternehmens zum beizulegenden Zeitwert.
A,Acquired goodwill,erworbener Firmenwert / originärer Geschäftswert,"Der Betrag, um den die übertragene Gegenleistung den beizulegenden Zeitwert der in einem Unternehmenszusammenschluss erworbenen identifizierbaren Nettovermögenswerte übersteigt.",Ein erworbener Firmenwert von 4 Millionen wurde angesetzt und jährlich auf Wertminderung geprüft.
A,Acquired in a business combination,im Rahmen eines Unternehmenszusammenschlusses erworben,"Ein Vermögenswert oder eine Schuld, der bzw. die im Wege eines Unternehmenszusammenschlusses erlangt wurde.",Das Patent wurde im vergangenen Jahr im Rahmen eines Unternehmenszusammenschlusses erworben.
A,Acquiree,erworbenes Unternehmen / übernommenes Unternehmen,"Das Unternehmen, über das der Erwerber die Kontrolle erlangt.",Die Vermögenswerte des erworbenen Unternehmens wurden zum beizulegenden Zeitwert bewertet.
A,Acquirer,Erwerber,"Das Unternehmen, das die Kontrolle über ein anderes Unternehmen erwirbt.",Der Erwerber erfasst die identifizierbaren Nettovermögenswerte zum beizulegenden Zeitwert.
A,Acquisition,Unternehmenserwerb / Akquisition,"Ein Unternehmenszusammenschluss, bei dem ein Unternehmen die Kontrolle über ein anderes erhält.",Der Erwerb wurde nach der Erwerbsmethode bilanziert.
A,Acquisition date,Erwerbszeitpunkt,"Der Zeitpunkt, zu dem der Erwerber in einem Unternehmenszusammenschluss faktisch die Kontrolle über das erworbene Unternehmen erlangt.",Die übertragene Gegenleistung wird mit ihrem beizulegenden Zeitwert zum Erwerbszeitpunkt bewertet.
A,Acquisition method,Erwerbsmethode,"Die Methode, nach der Unternehmenszusammenschlüsse bilanziert werden.",Nach der Erwerbsmethode werden die identifizierbaren Vermögenswerte zum beizulegenden Zeitwert bewertet.
A,Active market,aktiver Markt,"Ein Markt, auf dem Transaktionen häufig genug stattfinden, um Preisinformationen zu liefern.",Die Aktien werden an einem aktiven Markt gehandelt.
A,Active use,aktive Nutzung,Die Nutzung eines Vermögenswerts bei der Produktion oder Bereitstellung von Gütern und Dienstleistungen.,Die Anlage wird im Fertigungsprozess aktiv genutzt.
A,Actively marketed,aktiv vermarktet,"Bezeichnet einen Vermögenswert, der aktiv und in seinem gegenwärtigen Zustand zu einem angemessenen Preis zum Verkauf angeboten wird.",Das Gebäude wurde während des gesamten Berichtszeitraums aktiv vermarktet.
A,Actuarial assumptions,versicherungsmathematische Annahmen,"Demografische und finanzielle Schätzgrößen, die zur Bewertung von Leistungsverpflichtungen herangezogen werden.",Zu den versicherungsmathematischen Annahmen gehören Abzinsungssätze und Sterblichkeitsraten.
A,Actuarial gains and losses,versicherungsmathematische Gewinne und Verluste,"Änderungen des Barwerts einer Leistungsverpflichtung, die aus Erfahrungsanpassungen resultieren.",Versicherungsmathematische Gewinne und Verluste entstehen durch Änderungen der versicherungsmathematischen Annahmen.
A,Actuarial present value of promised retirement benefits,versicherungsmathematischer Barwert der zugesagten Altersversorgungsleistungen,Der Barwert der zugesagten Altersversorgungsleistungen unter Verwendung versicherungsmathematischer Annahmen.,Der versicherungsmathematische Barwert der zugesagten Altersversorgungsleistungen wird jährlich angegeben.
A,Actuarial valuation,versicherungsmathematische Bewertung,Die Bewertung von Leistungsverpflichtungen unter Verwendung versicherungsmathematischer Annahmen.,Für den Pensionsplan wird jährlich eine versicherungsmathematische Bewertung durchgeführt.
A,Actuarial valuation method,versicherungsmathematische Bewertungsmethode,"Eine auf Hochrechnungen beruhende Technik zur Bewertung von Leistungsverpflichtungen, bei der künftige Zahlungen geschätzt und auf den Barwert abgezinst werden.",Das Unternehmen verwendete zur Bewertung seiner Pensionsverpflichtung die versicherungsmathematische Bewertungsmethode des Projected Unit Credit.
A,Additional comparative information,ergänzende Vergleichsinformationen,Über das Mindestmaß hinausgehende Informationen aus der Vorperiode.,Ergänzende Vergleichsinformationen wurden freiwillig dargestellt.
A,Additional consideration,zusätzliche Gegenleistung,Eine über die ursprüngliche Gegenleistung hinaus übertragene Zahlung.,Der Erwerber zahlte für den Earn-out eine zusätzliche Gegenleistung.
A,Additional disclosure,ergänzende Angaben,Über die vorgeschriebenen Mindestangaben hinausgehende ergänzende Informationen.,Das Unternehmen hat ergänzende Angaben zu seinen Geschäften mit nahestehenden Unternehmen und Personen gemacht.
A,Additional Exemptions for First-Time Adopters,zusätzliche Befreiungen für Erstanwender,"Optionale Erleichterungen, die Unternehmen den erstmaligen Übergang auf die IFRS erleichtern.",Das Unternehmen nutzte bei der Bewertung seiner Pensionsverpflichtung zum Übergangszeitpunkt die zusätzlichen Befreiungen für Erstanwender.
A,Adjust for consolidation procedures,Anpassung für Konsolidierungsmaßnahmen,"Die Bereinigung von Zahlen, um konzerninterne Effekte vor der Konsolidierung zu eliminieren.",Wir müssen vor der Berichterstattung die Konsolidierungsmaßnahmen berücksichtigen.
A,Adjusted fair value,angepasster beizulegender Zeitwert,"Ein beizulegender Zeitwert, der um besondere Rechte, Beschränkungen oder Bedingungen bereinigt wurde.",Der angepasste beizulegende Zeitwert spiegelte die Übertragungsbeschränkungen wider.
A,Adjusted weighted-average shares,angepasste gewichtete durchschnittliche Aktienanzahl,"Die gewichtete durchschnittliche Aktienanzahl, bereinigt um verwässernde potenzielle Aktien.",Das verwässerte Ergebnis je Aktie verwendet die angepasste gewichtete durchschnittliche Aktienanzahl.
A,Adjusting event (after the balance sheet date),ansatzwirksames Ereignis nach dem Bilanzstichtag,"Ein Ereignis nach dem Berichtsstichtag, das eine Anpassung erfordert.",Die Entscheidung in einem Gerichtsverfahren war ein ansatzwirksames Ereignis.
A,Adjusting event after the reporting period,ansatzwirksames Ereignis nach dem Berichtszeitraum,"Ein Ereignis nach dem Berichtsstichtag, das auf am Ende des Berichtszeitraums bestehende Verhältnisse hinweist und eine Anpassung erfordert.","Der Konkurs eines Kunden nach Jahresende war ein ansatzwirksames Ereignis nach dem Berichtszeitraum, da er eine bereits bestehende Wertminderung einer Forderung bestätigte."
A,Adjustment,Anpassung / Berichtigung,Eine Änderung eines zuvor erfassten Betrags.,Die Berichtigung korrigierte die Vorjahreszahlen.
A,Administrative expenses,Verwaltungsaufwendungen / allgemeine Verwaltungskosten,"Kosten des Unternehmensbetriebs, die weder der Produktion noch dem Vertrieb zuzurechnen sind.",Zu den Verwaltungsaufwendungen gehören Bürogehälter und Mieten.
A,Admission fees,Aufnahmegebühren,"Beträge, die für die erstmalige Aufnahme in eine Mitgliedschaft oder ein Dienstleistungsverhältnis berechnet werden.","Aufnahmegebühren werden als Umsatzerlöse erfasst, wenn die Leistung erbracht wird."
A,Advance,Anzahlung / Vorschuss,"Eine Zahlung eines Kunden vor Lieferung der Waren oder Erbringung der Dienstleistungen, die für den Verkäufer eine Verpflichtung begründet.",Der Kunde leistete vor Lieferung der Anlage eine Anzahlung von 10.000.
A,Adverse economic consequences,nachteilige wirtschaftliche Folgen,"Negative finanzielle Auswirkungen, die aus einem Ereignis oder einer Entscheidung resultieren.",Die Entscheidung hatte für das Unternehmen nachteilige wirtschaftliche Folgen.
A,Adverse event,nachteiliges Ereignis,"Ein ungünstiges Ereignis, das zu einem Verlust oder einer Verbindlichkeit führen kann.",Der Versicherer leistete nach dem nachteiligen Ereignis Schadenzahlungen.
A,After-tax amount,Betrag nach Steuern,Ein Betrag abzüglich Ertragsteuern.,Der Gewinn wird als Betrag nach Steuern ausgewiesen.
A,Agency,Agenturverhältnis / Vertretungsverhältnis,"Ein Verhältnis, bei dem eine Partei im Namen einer anderen Partei handelt.","Die Agenturvereinbarung gibt dem Agenten die Befugnis, den Geschäftsherrn rechtlich zu binden."
A,Aggregate,Gesamtbetrag / Summe,Ein Gesamtbetrag aus der Addition einzelner Komponenten oder Posten.,Der Anhang weist die Summe aller Geschäfte mit nahestehenden Unternehmen und Personen für die Periode aus.
A,Aggregation,Zusammenfassung / Aggregation,Die Zusammenfassung von Posten zu Klassen.,Die Zusammenfassung gleichartiger Posten erleichtert das Verständnis.
A,Aggregation criteria,Aggregierungskriterien / Zusammenfassungskriterien,Regeln für die Gruppierung von Posten mit ähnlichen Merkmalen für die Berichterstattung.,"Die Aggregierungskriterien bestimmen, wie Posten gemeinsam dargestellt werden."
A,Agreement date,Vertragsdatum / Datum der Vereinbarung,"Das Datum, an dem die Parteien eine verbindliche Vereinbarung erzielen.",Die beizulegenden Zeitwerte wurden zum Vertragsdatum bemessen.
A,Agreements for the construction of real estate,Verträge über die Errichtung von Immobilien,"Verträge über die Errichtung von Immobilien, bei denen die Umsatzerfassung davon abhängt, ob der Vertrag als Warenverkauf oder als Bauleistung zu behandeln ist.",Bei Verträgen über die Errichtung von Immobilien müssen Umsatzerlöse möglicherweise über die Zeit erfasst werden.
A,Agreements in progress,laufende Verträge / in Durchführung befindliche Verträge,"Verträge, die sich noch in Verhandlung befinden oder noch nicht abgeschlossen sind.",Umsatzerlöse aus laufenden Verträgen werden über die Zeit erfasst.
A,Agricultural activity,landwirtschaftliche Betätigung,Das Management der biologischen Umwandlung lebender Tiere oder Pflanzen zum Zweck des Verkaufs.,Die landwirtschaftliche Betätigung des Betriebs umfasst die Viehzucht.
A,Agricultural produce,landwirtschaftliche Erzeugnisse,Das Ernteprodukt eines biologischen Vermögenswerts.,Landwirtschaftliche Erzeugnisse werden bei der Ernte zum beizulegenden Zeitwert abzüglich der Veräußerungskosten bewertet.
A,Agriculture,Landwirtschaft (IAS 41),Der Standard über biologische Vermögenswerte und landwirtschaftliche Erzeugnisse.,Der Landwirtschaftsstandard befasst sich mit der Bilanzierung biologischer Vermögenswerte.
A,Allocation,Zuordnung / Verteilung,"Der Prozess der Zuordnung von Kosten, Umsatzerlösen oder Beträgen zu verschiedenen Perioden, Vermögenswerten oder Aktivitäten.",Die Verteilung des Kaufpreises auf die erworbenen identifizierbaren Vermögenswerte wurde innerhalb der Bewertungsfrist abgeschlossen.
A,Allocation method,Verteilungsmethode,"Die Methode, nach der ein Betrag verteilt wird.",Die Verteilungsmethode verteilt die Kosten auf die Berichtsperioden.
A,Allowance,Wertberichtigung / Rückstellung,"Ein Verrechnungskonto, das den Buchwert eines Vermögenswerts mindert.",Das Unternehmen bildete eine Wertberichtigung für zweifelhafte Forderungen.
A,Allowance account,Wertberichtigungskonto,"Ein Verrechnungskonto, das geschätzte Wertminderungen einer Forderung ausweist.",Das Wertberichtigungskonto wird von den Bruttoforderungen abgezogen.
A,Allowed alternative treatment,zugelassene alternative Behandlung,"Eine alternative Bilanzierungsmethode, die frühere Standards neben der Benchmark-Behandlung zuließen.",Das Unternehmen wandte die zugelassene alternative Behandlung an und nahm eine Neubewertung seiner Sachanlagen vor.
A,American share option,amerikanische Aktienoption,"Eine Option, die jederzeit vor Ablauf ausgeübt werden kann.",Die amerikanische Aktienoption kann jederzeit ausgeübt werden.
A,Amortisation,planmäßige Abschreibung / Abschreibung,Die planmäßige Verteilung der Anschaffungskosten eines immateriellen Vermögenswerts auf seine Nutzungsdauer.,Die planmäßige Abschreibung des Patents wird monatlich als Aufwand erfasst.
A,Amortisation method,Abschreibungsmethode,"Die Methode, nach der der abschreibbare Betrag auf die Nutzungsdauer verteilt wird.",Auf den immateriellen Vermögenswert wird die lineare Abschreibungsmethode angewendet.
A,Amortisation period,Abschreibungszeitraum / Nutzungsdauer,"Der Zeitraum, über den ein immaterieller Vermögenswert abgeschrieben wird.",Der Abschreibungszeitraum entspricht der erwarteten Nutzungsdauer des Vermögenswerts.
A,Amortised cost,fortgeführte Anschaffungskosten,"Der Betrag, zu dem ein Finanzinstrument nach Berücksichtigung von Tilgungen, kumulierter Abschreibung und Wertminderungen bewertet wird.",Die Anleihe wird nach der Effektivzinsmethode zu fortgeführten Anschaffungskosten bewertet.
A,Amortised cost of a financial asset or financial liability,fortgeführte Anschaffungskosten eines Finanzvermögenswerts oder einer Finanzverbindlichkeit,Der nach der Effektivzinsmethode ermittelte Betrag.,Das Darlehen wird zu fortgeführten Anschaffungskosten ausgewiesen.
A,Amortising interest rate swap,Zinsswap mit fallendem Nominalbetrag,"Ein Swap, dessen Nominalbetrag über die Laufzeit abnimmt.",Der Zinsswap mit fallendem Nominalbetrag sicherte die Darlehenstilgungen ab.
A,Amount of inventories,Buchwert der Vorräte,Der im Abschluss erfasste Buchwert der Vorräte.,Der zum Nettoveräußerungswert fortgeführte Betrag der Vorräte wurde angegeben.
A,Amount payable,zahlbarer Betrag / fälliger Betrag,"Der Geldbetrag, den ein Unternehmen zu zahlen hat, in der Regel aufgrund eines Vertrags oder einer Verbindlichkeit.",Der am Jahresende an Lieferanten zahlbare Betrag wurde im Anhang angegeben.
A,Amount per share,Betrag je Aktie,"Der Geldbetrag, der auf eine einzelne Aktie entfällt.",Der Dividendenbetrag je Aktie betrug zwei Lira.
A,Amounts recognised [in the statement of financial position or in the statement of comprehensive income],erfasste Beträge (in der Bilanz oder in der Gesamtergebnisrechnung),"Geldbeträge, die nach den anwendbaren Standards im Abschluss erfasst werden.",Der Anhang zeigt die in der Bilanz erfassten Beträge.
A,Analysis,Analyse,Die eingehende Untersuchung von Informationen zur Unterstützung von Entscheidungen.,Die Geschäftsleitung führte eine Sensitivitätsanalyse der Cashflows durch.
A,Annual leave,Jahresurlaub,"Bezahlter Urlaub, der sich bei den Arbeitnehmern ansammelt.",Der Jahresurlaub ist eine kurzfristige Leistung an Arbeitnehmer.
A,Annual periods,Jahresperioden / Geschäftsjahre,"Einjährige Berichtsperioden, für die ein Unternehmen seinen Abschluss aufstellt.","Das Unternehmen erstellt den Abschluss für Jahresperioden, die am 31. Dezember enden."
A,Annuitant,Rentenempfänger / Leibrentenberechtigter,"Eine Person, die eine Rente erhält.",Der Rentenempfänger erhält lebenslang jährliche Zahlungen.
A,Annuitisation,Verrentung,Die Umwandlung eines Kapitalbetrags in eine Reihe regelmäßiger Zahlungen.,Die Verrentung wandelt das angesparte Vorsorgekapital in ein monatliches Einkommen um.
A,Annuity,Rente / Annuität,Eine Reihe gleich hoher Zahlungen in regelmäßigen Abständen über einen Zeitraum.,Der Rentner erhält aus dem Pensionsplan eine monatliche Rente.
A,Antidilution,Antiverwässerung,"Der Effekt, dass die Umwandlung potenzieller Stammaktien das Ergebnis je Aktie erhöhen oder den Verlust je Aktie mindern würde.",Diese Optionen waren antiverwässernd und wurden daher aus dem verwässerten Ergebnis je Aktie ausgeschlossen.
A,Antidilutive,antiverwässernd,Eine Erhöhung des Ergebnisses je Aktie oder eine Verringerung des Verlusts je Aktie bewirkend.,Diese potenziellen Aktien sind antiverwässernd und wurden ausgeschlossen.
A,Appendix,Anlage / Anhang,"Ein ergänzender Abschnitt, der einem Standard oder Dokument beigefügt ist.",Die erläuternden Beispiele werden in der Anlage dargestellt.
A,Applicability,Anwendbarkeit,Ob ein Standard oder eine Behandlungsweise auf einen Sachverhalt anwendbar ist.,Die Anwendbarkeit des Standards hängt von der Art des Unternehmens ab.
A,Application guidance,Anwendungsleitfaden / Anwendungsleitlinie,"Leitlinien, die erläutern, wie ein Standard anzuwenden ist.","Der Anwendungsleitfaden erläutert, wie der Standard anzuwenden ist."
A,Application of requirements,Anwendung der Anforderungen,"Die Art und Weise, wie ein Unternehmen die konkreten Anforderungen eines Standards auf seine Geschäftsvorfälle und Salden anwendet.",Die Anlage enthält Leitlinien zur Anwendung der Anforderungen an Leasingvertragsänderungen.
A,Application supplement,Anwendungsergänzung / ergänzende Anwendungshinweise,"Zusätzliche Leitlinien, die einen Standard ergänzen.",Die ergänzenden Anwendungshinweise verdeutlichen die Anwendung des Standards.
A,Applying the Restatement Approach Under IAS 29 Financial Reporting in Hyperinflationary Economies,Anwendung des Neubewertungsansatzes nach IAS 29 Finanzberichterstattung in Volkswirtschaften mit Hochinflation,Leitlinien zur Neubewertung des Abschlusses in Volkswirtschaften mit Hochinflation nach IAS 29.,Das Unternehmen wandte den Neubewertungsansatz nach IAS 29 an.
A,Appraisal,Bewertung / Gutachten,Die sachverständige Einschätzung des Werts eines Vermögenswerts oder einer Schuld.,Für die Immobilie wurde ein unabhängiges Bewertungsgutachten eingeholt.
A,Arm’s length transaction,Fremdgeschäft / Geschäft zu Marktkonditionen,"Ein Geschäft zwischen voneinander unabhängigen, vertragswilligen Parteien, die jeweils in eigenem Interesse handeln.","Die Angaben zu Geschäften mit nahestehenden Unternehmen und Personen bestätigen, ob die Geschäfte zu Fremdkonditionen abgeschlossen wurden."
A,Artistic-related intangible assets,künstlerisch geprägte immaterielle Vermögenswerte,Nichtmonetäre Vermögenswerte aus künstlerischen Werken wie Filmen.,Filmrechte sind künstlerisch geprägte immaterielle Vermögenswerte.
A,Asking price,Angebotspreis / Verkäuferpreis,"Der Preis, den ein Verkäufer für einen Vermögenswert zu akzeptieren bereit ist.",Der ausgewiesene Angebotspreis lag über dem Gebotspreis.
A,Assess,beurteilen / bewerten,Etwas einschätzen oder bewerten.,"Das Unternehmen muss beurteilen, ob ein Hinweis auf eine Wertminderung vorliegt."
A,Assessing control,Beurteilung der Kontrolle,"Die Beurteilung, ob ein Investor die Kontrolle über ein Unternehmen ausübt.","Die Beurteilung der Kontrolle erfordert die Bewertung von Macht, Exposition und Renditen."
A,Asset,Vermögenswert,"Eine Ressource, die aus vergangenen Ereignissen resultiert, von einem Unternehmen kontrolliert wird und von der der Zufluss künftigen wirtschaftlichen Nutzens erwartet wird.","Die Maschine wird als Vermögenswert angesetzt, weil sie künftigen wirtschaftlichen Nutzen bringen wird."
A,Asset exchange transactions,Tauschgeschäfte mit Vermögenswerten,"Geschäftsvorfälle, bei denen ein Vermögenswert gegen einen anderen getauscht wird.",Tauschgeschäfte mit Vermögenswerten werden auf der Grundlage ihres wirtschaftlichen Gehalts bewertet.
A,Asset-specific performance risk,assetspezifisches Leistungsrisiko,"Das Risiko, dass ein bestimmter Vermögenswert nicht die erwartete Leistung erbringt.",Das assetspezifische Leistungsrisiko beeinflusst den beizulegenden Zeitwert des Vermögenswerts.
A,Assets acquired,erworbene Vermögenswerte,"Die identifizierbaren Vermögenswerte, die der Erwerber in einem Unternehmenszusammenschluss erwirbt.",Die erworbenen Vermögenswerte wurden mit ihren beizulegenden Zeitwerten zum Erwerbszeitpunkt bewertet.
A,Assets held by a long-term employee benefit fund,Vermögenswerte eines langfristigen Arbeitnehmerleistungsfonds,"Mittel, die in einem gesonderten langfristigen Fonds zur Erfüllung von Arbeitnehmerleistungsverpflichtungen gehalten werden.",Die Vermögenswerte eines langfristigen Arbeitnehmerleistungsfonds werden an jedem Berichtsstichtag zum beizulegenden Zeitwert bewertet.
A,Assets retired from active use,aus der aktiven Nutzung genommene Vermögenswerte,"Vermögenswerte, die nicht mehr im Betrieb genutzt, aber weiterhin gehalten werden.",Das Werk weist die aus der aktiven Nutzung genommenen Vermögenswerte gesondert aus.
A,Associate,assoziiertes Unternehmen,"Ein Unternehmen, auf das der Investor maßgeblichen Einfluss ausübt.",Die Beteiligung an dem assoziierten Unternehmen wird nach der Equity-Methode bilanziert.
A,Audit report,Bestätigungsvermerk / Prüfungsbericht,Die formelle Feststellung des Abschlussprüfers zum Jahresabschluss.,Der Bestätigungsvermerk lautete uneingeschränkt.
A,Authorise [financial statements for issue],freigeben (Abschluss zur Veröffentlichung),Die formelle Freigabe des Abschlusses zur Veröffentlichung.,Der Vorstand gab den Jahresabschluss zur Veröffentlichung frei.
A,Available-for-sale financial assets,zur Veräußerung verfügbare finanzielle Vermögenswerte,"Eine frühere Kategorie nichtderivativer finanzieller Vermögenswerte, die als zur Veräußerung verfügbar eingestuft und zum beizulegenden Zeitwert mit Wertänderungen im sonstigen Gesamtergebnis bewertet wurden.",Gewinne aus zur Veräußerung verfügbaren finanziellen Vermögenswerten wurden früher bis zur Veräußerung im sonstigen Gesamtergebnis erfasst.
A,Award credits,Bonuspunkte / Prämienpunkte,"An Kunden vergebene Punkte, die zu künftigen Preisnachlässen berechtigen.",Bonuspunkte sind eine gesonderte Leistungsverpflichtung.
A,Corridor,Korridor (für versicherungsmathematische Gewinne und Verluste),"Ein zulässiger Bereich versicherungsmathematischer Gewinne und Verluste, die bislang nicht erfasst wurden.",Versicherungsmathematische Gewinne innerhalb des Korridors wurden abgegrenzt.
A,‘Cost of sales’ method,Cost-of-Sales-Methode (Umsatzkostenverfahren),"Eine Methode zur Darstellung der Aufwendungen nach Funktionen, bei der die Kosten der verkauften Leistungen ausgewiesen werden.",Nach der Cost-of-Sales-Methode werden die Aufwendungen nach Funktionen gegliedert.
B,Back-out,rückgängig machen / ausbuchen,Eine Buchung oder einen zuvor erfassten Betrag rückgängig zu machen oder zu eliminieren.,Der Buchhalter musste die fehlerhafte Abgrenzung vor dem Periodenabschluss rückgängig machen.
B,Balance sheet,Bilanz,"Aufstellung über Vermögenswerte, Schulden und Eigenkapital zu einem Stichtag.",Die Bilanz weist Vermögenswerte in Höhe von einer Million aus.
B,Balance sheet date,Bilanzstichtag,Der Stichtag am Ende des Berichtszeitraums für die Bilanz.,Ereignisse nach dem Bilanzstichtag wurden angegeben.
